,route,boardings,alightings
0,Route 16,29852,30080
1,Route 24,27059,27097
2,Route 32,26477,26212
3,Route 18,26062,26248
4,Route 21,22585,22585
5,Route 20,22524,22688
6,Route 34,20881,20674
7,Route 33,17140,17040
8,Route 51,14922,14955
9,Route 30,14532,14655
10,Route 35,14313,14519
11,Route 21 Express,14178,13934
12,Route 12,13202,13159
13,Route 26,11998,12009
14,Route 17 (Route 1 Ride),11978,12114
15,Route 23,11427,11476
16,Route 11,10558,10548
17,Route 13,9208,9125
18,Route 14,8272,8788
19,Route 36,7655,7739
20,Route 22,7533,7571
21,Route 28,7465,7378
22,Route 25,7234,7286
23,Route 15 Express,7234,7290
24,Route 27,6118,6120
25,Route 37,5211,5197
26,Deadhead,4354,4256
27,Route 53,1852,1836
28,Strategic,941,835
29,Route 35s,692,681
30,Maintenance,652,664
31,Training,318,329
32,Special,45,59
